,Nikkiso,Osram 4.7 mW,Osram 42 mW,CIS,Stanely
Wavelength(nm),Intensity,Intensity,Intensity,Intensity,Intensity
,,,,,
313.30,8.07218E-09,3.50382E-09,7.17177E-08,2.49425E-09,2.30949E-09
313.87,8.55404E-09,3.42746E-09,6.76865E-08,1.88213E-09,1.95477E-09
314.44,7.4397E-09,3.38534E-09,6.44723E-08,1.64317E-09,2.12491E-09
315.02,8.3985E-09,3.09171E-09,6.15062E-08,1.84313E-09,1.9158E-09
315.59,7.68409E-09,3.56674E-09,5.89882E-08,1.66448E-09,2.14004E-09
316.16,7.99283E-09,3.50373E-09,5.57643E-08,1.38566E-09,2.0323E-09
316.73,9.35056E-09,2.95339E-09,5.16142E-08,1.40732E-09,2.20678E-09
317.31,8.07782E-09,2.95161E-09,5.07916E-08,1.58476E-09,1.96774E-09
317.88,8.22988E-09,2.69201E-09,4.8907E-08,1.44498E-09,2.11138E-09
318.45,9.41347E-09,3.06699E-09,4.75715E-08,1.42467E-09,1.9919E-09
319.02,4.58599E-09,2.82826E-09,4.68912E-08,1.52291E-09,3.1513E-09
319.60,7.58601E-09,2.58936E-09,4.27821E-08,1.66035E-09,1.83166E-09
320.17,6.63485E-09,2.48943E-09,4.11844E-08,1.73865E-09,2.12063E-09
320.74,7.26047E-09,2.60573E-09,3.51015E-08,1.55949E-09,1.72399E-09
321.31,8.82802E-09,2.4251E-09,3.88664E-08,1.26184E-09,1.62987E-09
321.89,7.01796E-09,2.14994E-09,3.87508E-08,1.16373E-09,1.73573E-09
322.46,6.14505E-09,2.24654E-09,3.491E-08,1.35975E-09,1.52397E-09
323.03,6.6955E-09,2.10827E-09,3.39861E-08,1.47776E-09,1.83899E-09
323.61,5.89954E-09,1.98727E-09,3.13179E-08,1.18056E-09,1.69213E-09
324.18,7.94504E-09,1.98735E-09,2.96156E-08,1.65285E-09,1.74467E-09
324.75,1.11656E-08,2.02586E-09,3.1306E-08,1.10144E-09,1.54726E-09
325.32,7.70267E-09,1.96605E-09,2.73652E-08,8.454E-10,1.38934E-09
325.90,6.21076E-09,2.12383E-09,2.92051E-08,1.16024E-09,1.44211E-09
326.47,5.81479E-09,1.88691E-09,2.70963E-08,1.06139E-09,1.02208E-09
327.04,6.52956E-09,2.06621E-09,2.68656E-08,1.16101E-09,1.45618E-09
327.62,5.19539E-09,1.08297E-09,2.64888E-08,1.29956E-09,1.24705E-09
328.19,5.51608E-09,1.89227E-09,2.50728E-08,1.22209E-09,1.37978E-09
328.76,5.59359E-09,1.57652E-09,2.36234E-08,9.85327E-10,1.22181E-09
329.34,4.80685E-09,1.69515E-09,2.31036E-08,1.24179E-09,9.06706E-10
329.91,6.14373E-09,1.63529E-09,2.23061E-08,1.30035E-09,1.30035E-09
330.48,6.22404E-09,1.47804E-09,2.16554E-08,1.14301E-09,1.26126E-09
331.06,5.98625E-09,1.57619E-09,1.92884E-08,1.24125E-09,1.27409E-09
331.63,5.1919E-09,1.69223E-09,1.97877E-08,9.83854E-10,1.20686E-09
332.20,6.76735E-09,1.43688E-09,2.18914E-08,5.51133E-10,1.16788E-09
332.78,6.22035E-09,1.2802E-09,2.07244E-08,9.84773E-10,1.07668E-09
333.35,5.58651E-09,1.31867E-09,2.01855E-08,1.00376E-09,1.12841E-09
333.92,5.65724E-09,1.35612E-09,1.87174E-08,1.04166E-09,9.17185E-10
334.50,5.10275E-09,1.43348E-09,2.04011E-08,1.11929E-09,8.11652E-10
335.07,6.19479E-09,1.25533E-09,1.95942E-08,9.41497E-10,8.89191E-10
335.64,5.87689E-09,1.84244E-09,1.87969E-08,1.13682E-09,1.16296E-09
336.22,5.32524E-09,1.39081E-09,1.53939E-08,9.01087E-10,9.53324E-10
336.79,4.69474E-09,1.11561E-09,1.89002E-08,1.01775E-09,8.48127E-10
337.36,5.62861E-09,1.36882E-09,1.75808E-08,1.91634E-09,1.16023E-09
337.94,5.85769E-09,9.76818E-10,1.67839E-08,1.03543E-09,8.46576E-10
338.51,5.4608E-09,1.28789E-09,1.63744E-08,7.22002E-10,9.62669E-10
339.08,5.37788E-09,1.24773E-09,1.45418E-08,1.09176E-09,5.84873E-10
339.66,5.21964E-09,9.74347E-10,1.7001E-08,7.0153E-10,6.75548E-10
340.23,5.60524E-09,1.22682E-09,1.71188E-08,6.03673E-10,8.30862E-10
340.81,5.75184E-09,-1.74983E-10,1.34662E-08,6.22162E-10,9.46205E-10
341.38,4.9643E-09,1.37757E-09,1.65396E-08,1.00893E-09,5.30334E-10
341.95,5.81366E-09,9.69475E-10,1.35586E-08,8.91917E-10,6.59243E-10
342.53,3.7965E-09,1.12407E-09,1.41977E-08,8.13981E-10,8.65663E-10
343.10,4.6448E-09,7.74558E-10,1.45724E-08,9.10105E-10,1.36839E-09
343.68,4.56377E-09,9.6743E-10,1.22414E-08,7.35247E-10,7.61045E-10
344.25,4.48551E-09,7.73788E-10,1.19813E-08,7.35099E-10,8.38271E-10
344.82,4.40726E-09,4.25496E-10,1.80326E-08,7.73629E-10,6.70478E-10
345.40,6.41234E-09,7.1502E-10,1.46717E-08,6.18396E-10,5.79746E-10
345.97,4.39913E-09,1.00386E-09,1.31138E-08,7.52896E-10,6.69241E-10
346.55,3.23893E-09,3.08638E-10,1.31035E-08,8.29466E-10,8.23036E-10
347.12,5.24096E-09,8.86826E-10,1.33528E-08,7.51874E-10,8.86826E-10
347.69,4.08421E-09,9.05959E-10,1.8999E-08,9.25235E-10,6.55375E-10
348.27,5.32051E-09,1.04154E-09,1.13038E-08,6.36497E-10,9.12955E-10
348.84,2.77537E-09,1.17632E-09,1.16869E-08,6.17089E-10,6.55657E-10
349.42,4.93785E-09,8.49159E-10,1.40095E-08,4.0528E-10,2.18723E-10
349.99,5.09159E-09,1.00344E-09,1.20802E-08,4.82422E-10,5.14584E-10
350.56,5.40303E-09,6.17828E-10,1.09294E-08,6.17828E-10,5.14857E-10
